id	artist	album	genre	year	discs	speed	bought
602	David Bowie	Scary Monsters (and Super Creeps)	Art Rock, New Wave, Post Punk	1980		33	2022
601	Bronski Beat	Truthdare Doubledare	Synthpop, Dance	1985		33	2022
600	Catbite	Nice One	Ska, Punk	2021		33	2022
599	Bacao Rhythm & Steel Band	Represent / Juicy Fruit	Hip Hop, Reggae, Funk, Soul	2022		45	2022
598	Ramsey Lewis	Salongo	Soul-Jazz, Jazz-Funk	1976		33	2022
597	Roy Orbison	The Very Best of Roy Orbison	Rock & Roll, Pop	1966		33	2022
596	Estacado	Estacado	Psychedelic Rock	2022		33	2022
595	Jeff Rosenstock	Ska Dream	Ska, Punk	2021		33	2022
594	Adam and the Ants	Kings of the Wild Frontier	Rock, Pop	1980		33	2022
593	Various	Ann Arbor Blues Festival 1969 Vol. 2	Blues	2019	2	33	2022
592	The 5.6.7.8's	Sho-Jo-Ji	Rock & Roll	2011		45	2022
591	John & Tom	Gonna Lay Down My Old Guitar	Country, Folk	2011		45	2022
590	Joshua Hedley	Broken Man	Country	2018		45	2022
589	Carl Sagan	A Glorious Dawn	Spoken Word	2009		45	2022
588	Roy Orbison	Chicken-Hearted	Rock & Roll	1957		45	2022
587	The Black Belles	Wishing Well	Garage Goth	2012		45	2022
586	Michael, Liz & Heather	Greetings From Nashville	Spoken Word	2022		33	2022
585	American Contemporary	Sonorous Explorations	Contemporary Classical	1978		33	2022
584	Sparks	A Steady Drip, Drip, Drip	Art Pop	2020	2	45	2021
583	FFS	FFS	Indie Rock, Electropop, Art Rock, Dance Rock	2015	2	33	2021
582	Reverend Horton Heat	King	Psychobilly	1999		45	2021
581	Calibro 35	Calibro 35	Rock, Funk, Cinematic	2008		33	2021
580	Jerry Jeff Walker	Viva Terlingua	Outlaw country	1973		33	2021
579	David Laibman & Eric Schoenberg	The New Ragtime Guitar	Ragtime, Acoustic	1971		33	2021
578	Paul Simon	Paul Simon	Folk Rock	1972		33	2021
577	General Public	All the Rage	New Wave, Two-Tone, Post-Punk	1984		33	2021
576	Eddy Grant	Killer on the Rampage	Reggae, Funk, New Wave	1982		33	2021
575	Dexys Midnight Runners	Too-Rye-Ay	New Wave	1982		33	2021
574	Roy Orbison	There is Only One	Rock	1965		33	2021
573	DEVO	Freedom of Choice	New Wave, Synth-Pop	1980		33	2020
572	David Bowie	The Man Who Sold the World	Glam Rock, Rock 	1971		33	2020
571	Patsy Cline	Today, Tomorrow and Forever	Country	1985		33	2020
570	Gene Autry	Back in the Saddle Again	Country	1939		33	2020
569	Dolly Parton	9 to 5 and Odd Jobs	Country	1980		33	2020
568	Big Audio Dynamite	Medicine Show	Hip Hop, Post Punk	1986		33	2020
567	Adam and the Ants	Prince Charming	New Wave	1981		33	2020
566	Igor Stravinsky		Classical	1982		33	2020
565	El Gran Combo	Este Si Que Es El Gran Combo	Salsa, Latin	1969	1	33	2020
564	A Turma Da Pilantragem	O Som Da Pilantragem	Brazilian, Latin, Samba	1968		33	2020
563	Solo Mouna	Solo Mouna	Afro Pop, Cameroon	1987		33	2020
562	General Public	Hand to Mouth	New Wave	1986		33	2020
561	Claude Debussy	Debussy/Ravel Quartets	Classical	1976		33	2020
560	Claude Debussy	Images Pour Le Piano	Classical	1977		33	2020
559	Elvis Costello & The Attractions	Punch the Clock	New Wave, Power Pop, Ska	1983		33	2020
558	Billy Preston	It's My Pleasure	Soul, Rock	1975		33	2020
557	Talking Heads	Remain in Light	New Wave, Post Punk, Worldbeat	1980		33	2020
556	Soft Cell	Non-Stop Erotic Cabaret	Synth-pop, new wave, minimal synth, electronic	1981		33	2020
555	Bon Iver	i,i	Chamber folk, experimental, folktronica	2019		33	2020
554	Sparks	Music That You Can Dance To	Dance pop	1986		33	2020
553	Gioachino Rossini	Greatest Hits	Classical, Opera, Symphonic	1982		33	2020
552	Glochids	Ni Fila	Experimental, Sound Collage, Field Recording	2017	1	33	2020
551	Glochids	Water on Silver	Experimental, Sound Collage, Field Recording	2016	1	33	2020
550	Tacocat	This Mess is a Place	Indie Punk Rock, Surf Punk, Pop Punk	2019		33	2020
549	James Taylor	James Taylor	Folk Rock, Art Rock	1968		33	2010
548	Ella Fitzgerald	Bernard Buffet	Jazz	1959		33	2008
547	Bandits of the Acoustic Revolution	A Call to Arms	Acoustic, Folk, Ska	2001		33	2016
546	Al Stewart	Year of the Cat	Rock, Soft Rock, Progressive Pop	1976		33	2012
545	Various	Woodstock	Rock	1969		33	2012
544	Various	With Love From Sweden				33	2014
543	The Clash	White Riot	Punk	1977		45	2012
542	Billy Idol	Whiplash Smile	Punk Rock, Hard Rock, Glam Rock	1986		33	2012
541	DEVO	Whip It	New Wave, Synth-Pop	1980		45	2010
540	Bill Cosby	When I Was a Kid	Comedy	1971		33	2008
539	Louis Armstrong Orchestra & Chorus	What a Wonderful World	Jazz, Dixieland Jazz			45	2010
538	The English Beat	Wha'ppen?	Ska, Two-Tone	1981		33	2010
537	Barbara Streisand	Wet	Pop	1979		33	2010
536	Jimmy Giuffre	Western Suite	Jazz	1960		33	2007
535	Crystal Gayle	We Must Believe in Magic	Country	1977		33	2010
534	Cliff Richard	We Don't Talk Anymore	Pop Rock	1979		33	2010
533	The Waitresses	Wasn't Tomorrow Wonderful	New Wave, Post-Punk	1982		33	2020
532	Various	Walt Disney's Fantasia	Soundtrack	1940		33	2010
531	Ultravox	Vienna	Synth-Pop, New Wave	1981		33	2012
530	Squeeze	U.K. Squeeze	Rock, Hard Rock	1978		33	2012
529	George Frederick Handel	Two Double Concertos	Classical			33	2010
528	Kool & The Gang	Twice As Kool	R&B, Soul, Funk, Disco	1983		33	2010
527	Billy Joel	Turnstiles	Soft Rock, Pop Rock, Progressive Rock	1976		33	2010
526	The Blood Brothers	Rumors Laid Waste	Post-Hardcore, Screamo	2003		33	2004
525	Talking Heads	True Stories	New Wave, Post-Punk, Art Pop, Avant-Funk	1986		33	2013
524	The Jacksons	Triumph	Post-Disco, R&B, Funk, Soul	1980		33	2010
